ID,Drug1_Name,Drug1_CID,Drug1_DBID,Drug2_Name,Drug2_CID,Drug2_DBID,Y_Score,Risk_Label,NegSample,Chem_Sim,Same_Enzyme,SideEffect_Sim,Shared_Targets,ATC_Similarity
18630,Testosterone,CID285862,DB41021,Progesterone,CID489716,DB37162,479,Moderate,No,0.45,1,0.52,3,0.26
18631,Hydroxychloroquine,CID579802,DB62073,Adalimumab,CID29944,DB59040,525,High,No,0.08,1,0.94,4,0.86
18632,Simvastatin,CID56504,DB37613,Morphine,CID821676,DB81159,777,High,No,0.61,0,0.35,9,0.48
18633,Testosterone,CID487569,DB83471,Cyclosporine,CID251730,DB64781,405,Moderate,No,0.38,1,0.39,1,0.22
18634,Cyclobenzaprine,CID47279,DB48653,Prednisone,CID681740,DB96059,192,Low,No,0.72,0,0.26,2,0.17
18635,Carbamazepine,CID620448,DB28120,Levothyroxine,CID114097,DB89883,523,High,No,0.03,0,0.87,9,0.85
18636,Sucralfate,CID656891,DB54132,Zolpidem,CID24879,DB94028,79,Low,No,0.03,1,0.74,5,0.09
18637,Fexofenadine,CID565156,DB66882,Amlodipine; Benazepril,CID853114,DB45836,691,High,No,0.54,0,0.58,6,0.22
18638,Metformin,CID77762,DB28066,Loperamide,CID841226,DB43459,585,High,No,0.8,1,0.29,1,0.47
18639,Furosemide,CID69685,DB75915,Tirzepatide,CID283248,DB99983,183,Low,No,0.77,1,0.34,4,0.17
18640,Hydralazine,CID192241,DB43670,Penicillin V,CID142274,DB66282,557,High,No,0.48,1,0.7,0,0.6
18641,Nabumetone,CID537615,DB34118,Tizanidine,CID166726,DB10528,604,High,No,0.44,1,0.08,9,0.07
18642,Ciprofloxacin,CID813796,DB19001,Hydroquinone,CID661535,DB73523,670,High,No,0.84,0,0.65,1,0.21
18643,Clopidogrel,CID918646,DB88966,Fluorouracil,CID926122,DB47240,777,High,No,0.79,0,0.57,3,0.64
18644,Cyanocobalamin,CID321837,DB79364,Lactulose,CID847881,DB67424,321,Moderate,No,0.01,0,0.93,9,0.92
18645,Methylphenidate,CID897485,DB58694,Meloxicam,CID788187,DB77607,436,Moderate,No,0.99,1,0.27,9,0.28
18646,Bupropion,CID485989,DB76138,Nirmatrelvir; Ritonavir,CID713436,DB58813,22,Safe,Yes,0.01,0,0.58,5,0.46
18647,Methylprednisolone,CID528192,DB50516,Sulfamethoxazole; Trimethoprim,CID751683,DB99449,439,Moderate,No,0.68,1,0.69,7,0.9
18648,Calcitriol,CID292153,DB34468,Ondansetron,CID967954,DB48582,542,High,No,0.69,0,0.11,0,0.29
18649,Tramadol,CID108843,DB30583,Rizatriptan,CID776699,DB88199,126,Low,No,0.39,0,0.75,4,0.94
18650,Linaclotide,CID72701,DB25281,Potassium Chloride,CID55987,DB96288,193,Low,No,0.9,1,0.18,7,0.63
18651,Clopidogrel,CID554132,DB26798,Chlorthalidone,CID326716,DB21374,792,High,No,0.43,1,0.95,6,0.09
18652,Sulfamethoxazole; Trimethoprim,CID670314,DB29149,Atorvastatin,CID644446,DB40328,308,Moderate,No,0.06,1,0.51,1,0.94
18653,Amlodipine; Benazepril,CID716557,DB58233,Icosapent Ethyl,CID969314,DB30239,150,Low,No,0.16,1,0.93,9,0.39
18654,Bisoprolol,CID521928,DB17001,Sumatriptan,CID116950,DB20920,375,Moderate,No,0.15,1,0.46,4,0.84
18655,Finasteride,CID55869,DB46870,Guanfacine,CID70486,DB86258,683,High,No,0.33,1,0.32,6,0.65
18656,Anastrozole,CID818848,DB20879,Chlorhexidine,CID483374,DB38962,21,Safe,Yes,0.98,0,0.14,5,0.51
18657,Amlodipine; Benazepril,CID682149,DB45487,Calcitriol,CID612729,DB54334,548,High,No,0.98,0,0.9,5,0.17
18658,Norethindrone,CID834161,DB18520,Meclizine,CID251730,DB72810,117,Low,No,0.28,1,0.95,1,0.77
18659,Fenofibrate,CID684553,DB66065,Venlafaxine,CID981457,DB78333,182,Low,No,0.78,0,0.37,7,0.76
18660,Hydrocortisone,CID706572,DB51962,Ipratropium,CID779382,DB61457,630,High,No,0.01,0,0.06,6,0.28
18661,Amlodipine,CID851166,DB45228,Cefdinir,CID376523,DB74518,143,Low,No,0.45,0,0.09,8,0.02
18662,Chlorhexidine,CID441220,DB76514,Bimatoprost,CID924008,DB89131,359,Moderate,No,0.74,1,0,10,0.12
18663,Omeprazole,CID813974,DB50784,Insulin Lispro,CID55000,DB36195,584,High,No,0.43,0,0.3,8,0.15
18664,Clonidine,CID356321,DB12841,Levetiracetam,CID478594,DB90044,306,Moderate,No,0.9,0,0.4,6,0.17
18665,Bisoprolol,CID863232,DB44809,Nortriptyline,CID101668,DB59765,39,Safe,Yes,0.87,0,0.2,0,0.24
18666,Tretinoin,CID286429,DB10837,Lorazepam,CID808179,DB13543,680,High,No,0.18,1,0.85,8,0.51
18667,Chlorhexidine,CID282982,DB65053,Atomoxetine,CID233186,DB48552,797,High,No,0.99,1,0.56,6,0.64
18668,Aripiprazole,CID273551,DB10764,Gabapentin,CID123936,DB44991,187,Low,No,0.93,0,0.92,3,0.67
18669,Bisoprolol,CID793307,DB60355,Tizanidine,CID217716,DB58449,4,Safe,Yes,0.29,0,0.75,0,0.46
18670,Cephalexin,CID274932,DB14809,Nitrofurantoin,CID514956,DB85132,691,High,No,0.35,1,0.78,5,0.9
18671,Gabapentin,CID97408,DB56600,Venlafaxine,CID614745,DB23435,375,Moderate,No,0.57,1,0.23,3,0.24
18672,Topiramate,CID664480,DB86741,Promethazine,CID194322,DB96616,151,Low,No,0.78,0,0.7,7,0.45
18673,Ramipril,CID63471,DB76726,Torsemide,CID566959,DB37570,39,Safe,Yes,0.33,0,0.08,2,0.04
18674,Albuterol,CID693236,DB20581,Methotrexate,CID179697,DB41706,265,Moderate,No,0.46,1,0.07,5,0.19
18675,Sacubitril; Valsartan,CID674395,DB23111,Hydrochlorothiazide; Lisinopril,CID732049,DB56198,443,Moderate,No,0.76,0,0.09,9,0.89
18676,Fluorouracil,CID527066,DB23521,Diphenhydramine,CID713195,DB58310,310,Moderate,No,0.61,1,0.16,10,0.73
18677,Primidone,CID341059,DB12814,Lactate,CID513606,DB19301,451,Moderate,No,0.93,1,0.92,8,0.77
18678,Nitrofurantoin,CID76583,DB94748,Semaglutide,CID285803,DB27925,95,Low,No,0.5,1,0.49,2,1
18679,Glipizide,CID307549,DB44782,Atomoxetine,CID317298,DB24563,144,Low,No,0.23,0,0.77,6,0.5
18680,Ethinyl Estradiol; Norelgestromin,CID201947,DB80377,Ciprofloxacin; Dexamethasone,CID815219,DB81560,558,High,No,0.93,0,0.72,4,0.12
18681,Acyclovir,CID895021,DB87227,Methylphenidate,CID653290,DB42137,446,Moderate,No,0.13,0,0.02,4,0.02
18682,Ethinyl Estradiol; Norgestrel,CID947964,DB82980,Hydralazine,CID978895,DB34628,800,High,No,0.09,0,0.73,2,0.63
18683,Celecoxib,CID48831,DB70135,Sulfamethoxazole; Trimethoprim,CID31429,DB17178,575,High,No,0.29,0,0.91,9,0.29
18684,Doxycycline,CID538768,DB79365,Metoclopramide,CID280292,DB39108,444,Moderate,No,0.4,1,0.08,9,0.39
18685,Fexofenadine,CID685899,DB59250,Mupirocin,CID216898,DB90503,431,Moderate,No,0.95,0,0.72,0,0.07
18686,Aspirin,CID827207,DB24660,Citalopram,CID362351,DB96368,548,High,No,0.89,1,0.53,10,0.24
18687,Glipizide,CID542164,DB53843,Phentermine,CID686846,DB20376,703,High,No,0.53,1,0.24,2,0.78
18688,Vitamin E,CID751874,DB63121,Metformin,CID169122,DB69851,150,Low,No,0.47,0,0.3,8,0.08
18689,Betamethasone; Clotrimazole,CID564789,DB81926,Fluticasone; Vilanterol,CID685058,DB14493,42,Safe,Yes,0.11,0,0.93,6,0.39
18690,Testosterone,CID743991,DB97420,Nortriptyline,CID661993,DB52759,357,Moderate,No,0.41,1,0.13,3,0.85
18691,Memantine,CID414222,DB20513,Bupropion,CID898556,DB71766,89,Low,No,0.25,0,0.34,1,0.75
18692,Insulin Detemir,CID734065,DB69227,Lorazepam,CID211322,DB74704,257,Moderate,No,0.91,1,0.85,8,0.03
18693,Simvastatin,CID839885,DB27373,Tretinoin,CID518053,DB57485,73,Low,No,0.11,0,0.84,3,0.86
18694,Tiotropium,CID793464,DB18478,Codeine; Guaifenesin,CID813515,DB88693,526,High,No,0.06,1,0.7,6,0.52
18695,Fluorouracil,CID87728,DB64420,Lovastatin,CID960174,DB65116,178,Low,No,0.62,0,0.21,9,0.56
18696,Anastrozole,CID164897,DB19343,Spironolactone,CID1389,DB22451,16,Safe,Yes,0.15,0,0.63,10,1
18697,Valacyclovir,CID242264,DB84852,Solifenacin,CID633147,DB97263,364,Moderate,No,0.39,1,0.03,1,0.65
18698,Paroxetine,CID680522,DB49283,Acetaminophen; Butalbital; Caffeine,CID932541,DB50279,413,Moderate,No,0.03,0,0.64,7,0.22
18699,Bupropion,CID871212,DB17772,Levofloxacin,CID789135,DB88214,270,Moderate,No,0.5,1,0.1,3,0.08
18700,Ethinyl Estradiol; Norethindrone,CID752351,DB69214,Loratadine; Pseudoephedrine,CID120151,DB36795,52,Low,No,0.07,1,0.59,8,0.91
18701,Levetiracetam,CID448457,DB91672,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID409212,DB94702,400,Moderate,No,0.82,0,0.69,7,0.27
18702,Dextromethorphan; Promethazine,CID906185,DB91170,Liraglutide,CID61155,DB87046,585,High,No,0.6,0,0.15,1,0.75
18703,Famotidine,CID188578,DB51539,Methimazole,CID33256,DB23768,758,High,No,0.98,1,0.68,8,0.06
18704,Cyclobenzaprine,CID535039,DB11787,Moxifloxacin,CID449414,DB11309,274,Moderate,No,0.86,1,1,6,0.94
18705,Metoclopramide,CID820230,DB12982,Bimatoprost,CID583590,DB14461,319,Moderate,No,0.68,1,0.6,9,0.75
18706,Valsartan,CID795123,DB71159,Carvedilol,CID770870,DB38463,378,Moderate,No,0.37,0,0.74,0,0.74
18707,Budesonide,CID793791,DB12425,Zolpidem,CID389969,DB15397,799,High,No,0.49,1,0.88,9,0.71
18708,Budesonide; Formoterol,CID41082,DB10956,Cefuroxime,CID825947,DB29139,120,Low,No,0.31,1,0.33,5,0.76
18709,Rimegepant,CID886380,DB16695,Nebivolol,CID525081,DB14378,637,High,No,0.1,0,0.89,10,0.33
18710,Bimatoprost,CID750935,DB86957,Alendronate,CID650147,DB33684,516,High,No,0.08,1,0.32,9,0.9
18711,Guaifenesin,CID365241,DB18483,Lamotrigine,CID386876,DB82982,595,High,No,0.19,0,0.2,7,0.14
18712,Oxcarbazepine,CID779241,DB70279,Fexofenadine,CID502607,DB86382,215,Moderate,No,0.75,0,0.77,9,0.12
18713,Rivaroxaban,CID52507,DB17886,Furosemide,CID732060,DB25129,177,Low,No,0.66,1,0.88,6,0.99
18714,Bumetanide,CID890670,DB22408,Etodolac,CID278171,DB95140,157,Low,No,0.08,0,0.84,9,0.84
18715,Rosuvastatin,CID638389,DB95826,Acyclovir,CID660744,DB93599,454,Moderate,No,0.71,1,0.75,10,0.59
18716,Empagliflozin,CID64670,DB70618,Promethazine,CID64373,DB47183,569,High,No,0.07,0,0.56,10,0.01
18717,Morphine,CID246746,DB37696,Verapamil,CID393067,DB80399,63,Low,No,0.97,1,0.76,4,0.65
18718,Donepezil,CID180508,DB12328,Benazepril,CID195935,DB69460,158,Low,No,0.45,0,0.78,10,0.46
18719,Fluticasone,CID813861,DB58093,Bisoprolol,CID895986,DB66138,663,High,No,0.37,1,0.73,10,0.23
18720,Alprazolam,CID330608,DB34977,Bisacodyl,CID283543,DB66295,136,Low,No,0,1,0.68,4,0.56
18721,Ethinyl Estradiol; Norgestrel,CID686585,DB22125,Budesonide; Formoterol,CID634314,DB50831,505,High,No,0.4,1,0.6,9,0.99
18722,Sildenafil,CID305941,DB29827,Famotidine,CID560142,DB32778,372,Moderate,No,0.46,0,0.28,0,0.18
18723,Metronidazole,CID375265,DB58887,Dorzolamide,CID108777,DB15287,225,Moderate,No,0.33,0,0.15,1,0.26
18724,Insulin Aspart,CID102057,DB99165,Fenofibrate,CID887457,DB59143,370,Moderate,No,0.34,1,0.76,1,0.45
18725,Primidone,CID135922,DB71060,Fluticasone; Umeclidinium; Vilanterol,CID212488,DB47307,97,Low,No,0.49,1,0.99,0,0.28
18726,Levetiracetam,CID638775,DB94726,Levothyroxine,CID436321,DB65148,97,Low,No,0.01,0,0.69,10,0.76
18727,Memantine,CID641071,DB71704,Venlafaxine,CID251080,DB41991,234,Moderate,No,0.44,1,0.67,6,0.73
18728,Hydralazine,CID983841,DB87071,Tretinoin,CID605120,DB70478,151,Low,No,0.45,1,0.51,6,0.39
18729,Carvedilol,CID279344,DB30282,Fluoxetine,CID335812,DB32100,706,High,No,0.17,1,0.63,0,0.5
18730,Levetiracetam,CID954811,DB82266,Clobetasol,CID877239,DB94965,119,Low,No,0.46,1,0.23,9,0.2
18731,Ketoconazole,CID676374,DB58198,Ramipril,CID418646,DB30796,395,Moderate,No,0.95,1,0.72,6,0.02
18732,Dextroamphetamine,CID395095,DB25510,Levetiracetam,CID447700,DB10104,307,Moderate,No,0.28,0,0.76,4,0.14
18733,Pioglitazone,CID146998,DB43560,Ezetimibe,CID99339,DB99413,146,Low,No,0.83,1,0.38,4,0.72
18734,Lactobacillus Acidophilus,CID294665,DB28472,Prednisolone,CID206622,DB89828,716,High,No,0.4,1,0.78,7,0.4
18735,Citalopram,CID832081,DB52856,Acetaminophen,CID578676,DB98038,734,High,No,0.17,0,0.93,10,0.24
18736,Promethazine,CID778612,DB47561,Semaglutide,CID401292,DB54936,210,Moderate,No,0.87,0,0.22,8,0.89
18737,Finasteride,CID700793,DB42727,Flecainide,CID554821,DB27738,684,High,No,0.87,1,0.25,7,0.78
18738,Ipratropium,CID942050,DB78889,Nirmatrelvir; Ritonavir,CID105154,DB97133,15,Safe,Yes,0.43,1,0.18,5,0.33
18739,Amoxicillin; Clavulanate,CID804390,DB23253,Cetirizine,CID579846,DB14849,705,High,No,0.08,1,0.81,10,0.38
18740,Azelastine,CID80284,DB21477,Dexamethasone,CID975095,DB24341,213,Moderate,No,0.32,1,0.35,9,0.52
18741,Metoprolol,CID94953,DB32583,Warfarin,CID846594,DB72448,556,High,No,0.28,0,0.5,2,0.64
18742,Methotrexate,CID690991,DB29294,Ciprofloxacin; Dexamethasone,CID267422,DB99502,616,High,No,0.99,0,0.18,9,0.64
18743,Betamethasone,CID493860,DB25019,Prednisone,CID5636,DB71495,153,Low,No,0.36,1,0.19,10,0.29
18744,Insulin Aspart,CID383137,DB93573,Hydroxychloroquine,CID816831,DB39727,262,Moderate,No,0.41,1,0.63,2,0.31
18745,Celecoxib,CID294813,DB12432,Erythromycin,CID996788,DB17631,365,Moderate,No,0.81,1,0.34,6,0.94
18746,Thyroid,CID936118,DB48502,Ethinyl Estradiol; Etonogestrel,CID479688,DB43586,439,Moderate,No,0.04,1,0.79,7,0.35
18747,Terbinafine,CID172440,DB85972,Lidocaine,CID649323,DB55234,415,Moderate,No,0.17,1,0.65,1,0.8
18748,Pioglitazone,CID997295,DB41519,Fluticasone; Salmeterol,CID885347,DB85103,307,Moderate,No,0.78,0,0.64,0,0.69
18749,Codeine; Guaifenesin,CID886046,DB68162,Apixaban,CID719526,DB68119,629,High,No,0.6,0,0.26,7,0.87
18750,Acetaminophen; Oxycodone,CID339641,DB66749,Glimepiride,CID28087,DB42518,745,High,No,0.7,1,0.34,10,0.61
18751,Meloxicam,CID967401,DB13212,Estradiol,CID964334,DB38534,257,Moderate,No,0.62,0,0.46,6,0.14
18752,Hydroxychloroquine,CID770914,DB93333,Verapamil,CID192657,DB81967,146,Low,No,0.88,0,0.64,8,0
18753,Clotrimazole,CID903077,DB76116,Hydralazine,CID196708,DB65727,466,Moderate,No,0.56,0,0.3,10,0.4
18754,Nirmatrelvir; Ritonavir,CID598158,DB70532,Benzonatate,CID835114,DB16899,415,Moderate,No,0.44,0,0.37,0,0.64
18755,Hydrochlorothiazide; Lisinopril,CID937895,DB71054,Cetirizine,CID402244,DB75004,129,Low,No,0.13,1,0.52,8,0.02
18756,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID849838,DB87361,Solifenacin,CID996924,DB53892,721,High,No,0.3,0,0.84,5,0.84
18757,Omega-3-acid Ethyl Esters,CID972344,DB42463,Dorzolamide; Timolol,CID514694,DB86723,613,High,No,0.01,0,0.99,4,0.45
18758,Atropine; Diphenoxylate,CID889381,DB10397,Memantine,CID548677,DB61131,720,High,No,0.94,1,0.85,2,0.8
18759,Metoprolol,CID579633,DB84528,Ketoconazole,CID408902,DB13162,573,High,No,0.46,0,0.22,1,0.07
18760,Ibuprofen,CID186214,DB33256,Isosorbide,CID789276,DB86043,328,Moderate,No,0.12,0,0.78,9,0.67
18761,Diazepam,CID988924,DB74393,Doxazosin,CID188873,DB74034,181,Low,No,0.64,1,0.41,0,0.41
18762,Lactobacillus Acidophilus,CID43034,DB86937,Pioglitazone,CID335321,DB25635,226,Moderate,No,0.89,0,0.67,9,0.89
18763,Flecainide,CID808208,DB57815,Morphine,CID922182,DB39215,153,Low,No,0.3,0,0.73,6,0.91
18764,Mirabegron,CID698563,DB12430,Prednisone,CID418490,DB11235,716,High,No,0.74,1,0.47,1,0.66
18765,Torsemide,CID623612,DB98239,Oxycodone,CID946825,DB42798,175,Low,No,0.85,1,0.6,7,0.36
18766,Simvastatin,CID38974,DB22819,Fluticasone; Salmeterol,CID781507,DB15050,187,Low,No,0.89,1,0.14,3,0.05
18767,Olanzapine,CID362327,DB65155,Levofloxacin,CID603448,DB14479,329,Moderate,No,0.94,0,0.14,10,0.52
18768,Timolol,CID524872,DB78312,Clindamycin,CID249359,DB25463,511,High,No,0.27,1,0.55,1,0.53
18769,Terazosin,CID924563,DB14889,Chlorhexidine,CID662938,DB97409,624,High,No,0.65,0,0.81,1,0.88
18770,Risperidone,CID347913,DB85712,Ofloxacin,CID295952,DB97005,290,Moderate,No,0.45,0,0.37,9,0.77
18771,Nystatin,CID404171,DB99954,Pravastatin,CID342370,DB33478,515,High,No,0.37,1,0.06,3,0.61
18772,Tizanidine,CID841973,DB58850,Lorazepam,CID603852,DB90927,113,Low,No,0.75,1,0.39,5,0.5
18773,Methylprednisolone,CID113361,DB99638,Liothyronine,CID980881,DB83265,746,High,No,0.58,1,0.99,3,0.35
18774,Sumatriptan,CID430482,DB94502,Acyclovir,CID669650,DB28042,40,Safe,Yes,0.97,0,0.32,1,0.61
18775,Celecoxib,CID389177,DB14319,Gabapentin,CID692328,DB77351,152,Low,No,0.91,0,0.09,10,0.97
18776,Glipizide,CID474924,DB96248,Ethinyl Estradiol; Norethindrone,CID504630,DB24714,475,Moderate,No,0.43,0,0.93,10,0.68
18777,Mupirocin,CID984859,DB99822,Atropine; Diphenoxylate,CID360973,DB14481,503,High,No,0.17,1,0.75,3,0.07
18778,Clindamycin,CID86548,DB79302,Levofloxacin,CID288331,DB45085,144,Low,No,0.58,1,0.54,9,0.07
18779,Mupirocin,CID837015,DB80509,Ticagrelor,CID96970,DB68286,408,Moderate,No,0.71,0,0.67,6,0.2
18780,Estradiol,CID367619,DB54902,Levocetirizine,CID537760,DB37546,218,Moderate,No,0.58,0,0.06,0,0.33
18781,Tizanidine,CID737379,DB29984,Metformin,CID347995,DB30117,725,High,No,0.63,1,0.49,7,0.93
18782,Omeprazole,CID862075,DB39321,Sitagliptin,CID879879,DB40849,379,Moderate,No,0.11,0,0.97,10,0.77
18783,Insulin Lispro,CID570279,DB28847,Diazepam,CID686034,DB96718,58,Low,No,0.63,0,0.44,0,0.54
18784,Propranolol,CID472226,DB32380,Promethazine,CID368431,DB29040,666,High,No,0.12,0,0.45,1,0.06
18785,Tobramycin,CID135907,DB94728,Cyclosporine,CID274160,DB12690,9,Safe,Yes,0.29,0,0.89,10,0.99
18786,Carbamazepine,CID981312,DB17646,Ethinyl Estradiol; Norgestimate,CID440107,DB60779,531,High,No,0.68,0,0.87,1,0.89
18787,Loperamide,CID772216,DB63325,Fexofenadine,CID305814,DB29112,393,Moderate,No,0.29,1,0.48,5,0.49
18788,Fexofenadine,CID418050,DB60509,Amlodipine; Benazepril,CID530853,DB40880,566,High,No,0.66,1,0.67,6,0.13
18789,Cholecalciferol,CID344306,DB79734,Apixaban,CID935674,DB41687,54,Low,No,0.32,0,0.8,2,0.97
18790,Benzonatate,CID661501,DB66323,Escitalopram,CID849091,DB40273,745,High,No,0.34,0,0.67,9,0.32
18791,Atorvastatin,CID172579,DB37154,Terbinafine,CID846834,DB32742,567,High,No,0.66,0,0.83,4,0.23
18792,Omeprazole,CID467877,DB46972,Cyclosporine,CID873761,DB76492,800,High,No,0.17,0,0.01,3,0.61
18793,Cholecalciferol,CID198854,DB86479,Nabumetone,CID301981,DB94673,497,Moderate,No,0.59,0,0.74,2,0.24
18794,Methimazole,CID580365,DB58988,Levocetirizine,CID257073,DB51437,418,Moderate,No,0.29,1,0.82,1,0.5
18795,Apixaban,CID213778,DB94279,Diclofenac,CID709820,DB60452,412,Moderate,No,0.26,0,0.3,6,0.49
18796,Sitagliptin,CID600689,DB73766,Torsemide,CID927745,DB47811,207,Moderate,No,0.06,0,0.83,7,0.82
18797,Hydrochlorothiazide; Losartan,CID771726,DB43227,Magnesium Salts,CID622104,DB68769,162,Low,No,0.99,0,0.85,6,0.61
18798,Pramipexole,CID153107,DB71466,Epinephrine,CID301063,DB73528,9,Safe,Yes,0.29,1,0.51,4,0.67
18799,Cyclobenzaprine,CID702238,DB95848,Azelastine,CID579391,DB10274,436,Moderate,No,0.91,1,0.44,7,0.45
18800,Ethinyl Estradiol; Norgestimate,CID506262,DB83355,Bisoprolol,CID59706,DB20308,174,Low,No,0.46,1,0.15,5,0.6
18801,Epinephrine,CID155214,DB97378,Ketoconazole,CID289632,DB42217,52,Low,No,0.46,0,0.11,8,0.51
18802,Cefdinir,CID610189,DB74321,Levofloxacin,CID208506,DB29338,255,Moderate,No,0.09,0,0.27,9,0.86
18803,Docusate,CID95876,DB29581,Anastrozole,CID267846,DB55608,329,Moderate,No,0.66,0,0.18,10,0.32
18804,Valproate,CID716686,DB65635,Lorazepam,CID757843,DB40281,397,Moderate,No,0.66,0,0.16,9,0.86
18805,Tretinoin,CID297374,DB44163,Ticagrelor,CID982722,DB44232,323,Moderate,No,0.38,1,0.9,6,0.65
18806,Acyclovir,CID263077,DB34099,Bupropion,CID93002,DB32711,208,Moderate,No,0.91,0,0.42,3,0.08
18807,Azelastine,CID975165,DB22118,Icosapent Ethyl,CID908715,DB13300,332,Moderate,No,0.48,0,0.73,2,0.31
18808,Escitalopram,CID426055,DB64626,Ramipril,CID52251,DB43856,525,High,No,0.58,1,0.9,3,0.51
18809,Aripiprazole,CID380122,DB96970,Lorazepam,CID683904,DB75271,775,High,No,0.17,0,0.44,2,0.92
18810,Nitroglycerin,CID101324,DB74480,Lisinopril,CID619249,DB49456,489,Moderate,No,0.46,1,0.64,0,0.49
18811,Latanoprost,CID624897,DB65919,Amlodipine; Benazepril,CID274082,DB63920,533,High,No,0.15,0,0.03,7,0.95
18812,Venlafaxine,CID142585,DB15255,Nabumetone,CID876999,DB91616,622,High,No,0.16,0,0.66,3,0
18813,Insulin Human; Insulin Isophane Human,CID208525,DB62404,Lithium,CID808708,DB91776,80,Low,No,0.93,0,0.02,0,0.71
18814,Metformin,CID396473,DB29982,Torsemide,CID312209,DB77122,78,Low,No,0.18,1,0.29,5,0.28
18815,Lisinopril,CID619142,DB83123,Triamcinolone,CID504385,DB92600,2,Safe,Yes,0.28,0,0.14,2,0.09
18816,Budesonide; Formoterol,CID774180,DB10418,Ropinirole,CID757488,DB90512,770,High,No,0.12,1,0.19,8,0.02
18817,Desogestrel; Ethinyl Estradiol,CID126177,DB16128,Insulin Detemir,CID41453,DB40673,108,Low,No,0.55,0,0.33,3,0.21
18818,Verapamil,CID681960,DB95755,Memantine,CID185764,DB33838,24,Safe,Yes,0.7,1,0.43,1,0.55
18819,Ethinyl Estradiol; Norelgestromin,CID394004,DB42011,Venlafaxine,CID400180,DB72321,253,Moderate,No,0.88,0,0.96,8,0.7
18820,Desogestrel; Ethinyl Estradiol,CID496036,DB26340,Sertraline,CID168182,DB97127,63,Low,No,0.25,1,0.06,2,0.53
18821,Magnesium Salts,CID10188,DB79083,Ivermectin,CID744705,DB44251,29,Safe,Yes,0.56,0,0.15,0,0.3
18822,Valacyclovir,CID190715,DB34919,Albuterol,CID724129,DB33673,655,High,No,0.8,1,0.29,4,0.23
18823,Folic Acid,CID904572,DB55908,Glimepiride,CID313850,DB48227,31,Safe,Yes,0.01,1,0.95,10,0.01
18824,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID826389,DB21449,Amoxicillin; Clavulanate,CID454399,DB65480,604,High,No,0.95,1,0.16,2,0.41
18825,Dorzolamide,CID400471,DB80538,Primidone,CID114980,DB65811,289,Moderate,No,0.81,1,0.6,6,0.92
18826,Verapamil,CID672285,DB62822,Levothyroxine,CID950329,DB46404,365,Moderate,No,0.92,1,0.57,3,0.89
18827,Methimazole,CID534178,DB29635,Sumatriptan,CID533352,DB95320,192,Low,No,0.96,1,0.72,3,0.24
18828,Levothyroxine,CID656328,DB25656,Diclofenac,CID55854,DB90433,10,Safe,Yes,0.4,1,0.4,0,0.87
18829,Timolol,CID628539,DB49318,Cyclosporine,CID20161,DB84325,571,High,No,0.03,1,0.3,7,0.7
18830,Betamethasone; Clotrimazole,CID327213,DB11615,Ibuprofen,CID628247,DB35683,768,High,No,0.27,0,0.83,5,0.13
18831,Terbinafine,CID176778,DB43872,Riboflavin,CID44407,DB11011,444,Moderate,No,0.06,1,0.64,8,0.56
18832,Pseudoephedrine,CID423909,DB51967,Acetaminophen; Oxycodone,CID512898,DB89555,585,High,No,0.95,0,0.38,2,0.72
18833,Lactulose,CID302239,DB77026,Chlorthalidone,CID268555,DB26389,508,High,No,0.52,0,0.55,7,0.81
18834,Diclofenac,CID627585,DB86818,Omega-3-acid Ethyl Esters,CID659778,DB69339,607,High,No,0.06,1,0.91,6,0.3
18835,Dulaglutide,CID699370,DB91565,Nystatin,CID64880,DB73557,88,Low,No,0.82,0,0.44,10,0.02
18836,Colchicine,CID798256,DB56007,Trazodone,CID164030,DB75520,770,High,No,0.15,1,0.04,7,0.03
18837,Oxcarbazepine,CID898023,DB27360,Insulin Degludec,CID594619,DB32054,322,Moderate,No,0.71,0,0.41,3,0.12
18838,Alendronate,CID420892,DB65183,Paroxetine,CID57037,DB62814,423,Moderate,No,0.39,1,0.73,9,0.85
18839,Escitalopram,CID535293,DB27927,Cetirizine,CID370905,DB39960,181,Low,No,0.08,0,0.04,9,0.86
18840,Rizatriptan,CID537975,DB38307,Desvenlafaxine,CID890492,DB21821,510,High,No,0.23,0,0.98,2,0.5
18841,Esomeprazole,CID378904,DB18179,Prednisone,CID56072,DB52114,720,High,No,0.24,1,0.91,4,0.78
18842,Insulin Glargine,CID669983,DB15320,Amiodarone,CID256477,DB34648,238,Moderate,No,0.21,0,0.71,1,0.37
18843,Liothyronine,CID621532,DB34783,Carbamazepine,CID353031,DB47449,619,High,No,0.29,0,0.42,10,0.09
18844,Benzonatate,CID582234,DB33628,Chlorthalidone,CID387562,DB86689,472,Moderate,No,0.15,0,0.37,8,0.51
18845,Penicillin V,CID173123,DB33891,Carbamazepine,CID430145,DB80062,725,High,No,0.41,1,0.75,2,0.84
18846,Azelastine,CID25491,DB23142,Diphenhydramine,CID196080,DB37929,440,Moderate,No,0.12,1,0.28,3,0.22
18847,Docusate,CID590055,DB44101,Hydrochlorothiazide,CID694552,DB94749,38,Safe,Yes,0.86,0,0.65,2,0.43
